gateway-corpus-oracle-1  | [2026-09-11 09:25:43.614][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.router.cluster_specifier_plugin: envoy.router.cluster_specifier_plugin.cluster_fallback, envoy.router.cluster_specifier_plugin.golang
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.618][1][info][main] [external/envoy/source/server/server.cc:531] HTTP header map info:
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.618][1][info][main] [external/envoy/source/server/server.cc:534]   request header map: 664 bytes: :authority,:method,:path,:protocol,:scheme,accept,accept-encoding,access-control-request-headers,access-control-request-method,access-control-request-private-network,authentication,authorization,cache-control,cdn-loop,connection,content-encoding,content-length,content-type,expect,grpc-accept-encoding,grpc-timeout,if-match,if-modified-since,if-none-match,if-range,if-unmodified-since,keep-alive,origin,pragma,proxy-connection,proxy-status,referer,te,transfer-encoding,upgrade,user-agent,via,x-client-trace-id,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-downstream-service-cluster,x-envoy-downstream-service-node,x-envoy-expected-rq-timeout-ms,x-envoy-external-address,x-envoy-force-trace,x-envoy-hedge-on-per-try-timeout,x-envoy-internal,x-envoy-ip-tags,x-envoy-is-timeout-retry,x-envoy-max-retries,x-envoy-original-host,x-envoy-original-path,x-envoy-original-url,x-envoy-retriable-header-names,x-envoy-retriable-status-codes,x-envoy-retry-grpc-on,x-envoy-retry-on,x-envoy-upstream-alt-stat-name,x-envoy-upstream-rq-per-try-timeout-ms,x-envoy-upstream-rq-timeout-alt-response,x-envoy-upstream-rq-timeout-ms,x-envoy-upstream-stream-duration-ms,x-forwarded-client-cert,x-forwarded-for,x-forwarded-host,x-forwarded-port,x-forwarded-proto,x-request-id
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.618][1][info][main] [external/envoy/source/server/server.cc:534]   request trailer map: 120 bytes: 
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.618][1][info][main] [external/envoy/source/server/server.cc:534]   response header map: 432 bytes: :status,access-control-allow-credentials,access-control-allow-headers,access-control-allow-methods,access-control-allow-origin,access-control-allow-private-network,access-control-expose-headers,access-control-max-age,age,cache-control,connection,content-encoding,content-length,content-type,date,etag,expires,grpc-message,grpc-status,keep-alive,last-modified,location,proxy-connection,proxy-status,server,transfer-encoding,upgrade,vary,via,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-degraded,x-envoy-immediate-health-check-fail,x-envoy-ratelimited,x-envoy-upstream-canary,x-envoy-upstream-healthchecked-cluster,x-envoy-upstream-service-time,x-request-id
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.618][1][info][main] [external/envoy/source/server/server.cc:534]   response trailer map: 144 bytes: grpc-message,grpc-status
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.633][1][info][main] [external/envoy/source/server/server.cc:942] runtime: {}
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.633][1][info][main] [external/envoy/source/server/server.cc:774] Starting admin HTTP server at 0.0.0.0:9981
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.634][1][info][admin] [external/envoy/source/server/admin/admin.cc:65] admin address: 0.0.0.0:9981
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.634][1][info][config] [external/envoy/source/server/configuration_impl.cc:181] loading tracing configuration
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.634][1][info][config] [external/envoy/source/server/configuration_impl.cc:132] loading 0 static secret(s)
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.634][1][info][config] [external/envoy/source/server/configuration_impl.cc:138] loading 1 cluster(s)
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.637][1][info][config] [external/envoy/source/server/configuration_impl.cc:148] loading 0 listener(s)
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.637][1][info][config] [external/envoy/source/server/configuration_impl.cc:164] loading stats configuration
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.639][1][warning][main] [external/envoy/source/server/server.cc:1012] There is no configured limit to the number of allowed active downstream connections. Configure a limit in `envoy.resource_monitors.global_downstream_max_connections` resource monitor.
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.639][1][info][main] [external/envoy/source/server/server.cc:1051] starting main dispatch loop
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.641][1][info][runtime] [external/envoy/source/common/runtime/runtime_impl.cc:551] RTDS has finished initialization
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.641][1][info][upstream] [external/envoy/source/common/upstream/cluster_manager_impl.cc:252] cm init: all clusters initialized
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.641][1][info][main] [external/envoy/source/server/server.cc:1031] all clusters initialized. initializing init manager
gateway-corpus-oracle-1  | [2026-09-11 09:25:43.642][1][info][config] [external/envoy/source/common/listener_manager/listener_manager_impl.cc:1012] all dependencies initialized. starting workers
gateway-corpus-oracle-1  | [2026-09-11 09:25:49.970][1][info][wasm] [external/envoy/source/extensions/common/wasm/context.cc:1541] wasm log corpus-oracle-unsupported-semantics corpus-oracle-unsupported-semantics: [mcp-server] [] [nil] Parsing single server configuration: corpus-unsupported-semantics
gateway-corpus-oracle-1  | [2026-09-11 09:25:49.971][1][info][wasm] [external/envoy/source/extensions/common/wasm/context.cc:1541] wasm log corpus-oracle-unsupported-semantics corpus-oracle-unsupported-semantics: [mcp-server] [] [nil] plugin start successfully
gateway-corpus-oracle-1  | [2026-09-11 09:25:49.985][1][info][wasm] [external/envoy/source/extensions/common/wasm/context.cc:1541] wasm log corpus-oracle-unsupported-semantics corpus-oracle-unsupported-semantics: [mcp-server] [] [nil] Parsing single server configuration: corpus-unsupported-semantics
gateway-corpus-oracle-1  | [2026-09-11 09:25:49.986][1][info][wasm] [external/envoy/source/extensions/common/wasm/context.cc:1541] wasm log corpus-oracle-unsupported-semantics corpus-oracle-unsupported-semantics: [mcp-server] [] [nil] plugin start successfully
gateway-corpus-oracle-1  | [2026-09-11 09:25:49.988][1][info][upstream] [external/envoy/source/common/listener_manager/lds_api.cc:106] lds: add/update listener 'corpus-oracle-unsupported-semantics'
